id,text,arts_&_culture,business_&_entrepreneurs,pop_culture,daily_life,sports_&_gaming,science_&_technology
1,"Barbara Bailey is the queen of broadcast news in central & eastern Kentucky    After growing up watching her anchor the news, it was a great honor to call her coworker & friend. I loved saying “back to you, Barb” while reporting.  Cheers, {{USERNAME}} {{URL}} ",0,0,1,0,0,0
2,start the 20-21 school year off POSITIVE! let’s start a thread of all the good things this year has to offer... i’ll start- you all have the same lunch period as your friends! be sure to facetime each other at 12:05 i tag the queen of OB positivity {{USERNAME}} ⚔️,0,0,0,1,0,0
3,Worth watching at least the 1st 10mins if I was {@WA Police Force@} Minister {@Michelle Roberts MP@} . I d love 1 if I was a {@WA Police Traffic@} officer. Only problem I see is lack of DC fast charging in Western  {@Ben Wyatt@} {@Bill Johnston@} {@Rita Saffioti@} {{USERNAME}} {{URL}},0,0,1,0,0,0
4,There s regular people and then there s {@Bailey Sarian@} being the Queen of EVERYTHING.,0,0,1,0,0,0
5,"Up with new grace, truly sorry on behalf of {@Erica Nlewedim@} ! We don’t endorse bad behavior, however we don’t un-Stan the Queen for we know that she will come to realization of her wrong and apologize!   Can you guys cut down on alcohol intake or stop it completely? Sigh ‍♂️",0,0,1,0,0,0
6,I m still ticked at {@NBC Sports@} for moving a NASCAR race that was still going for the Kentucky Derby.  I m not as mad about missing the end of the race.  I m more mad that NBC now thinks so little of NASCAR that it s just another sport in their portfolio and expendable if needed.,0,0,0,0,1,0
7,POWER BOOK 2 EPISODE 1 REVIEW!! (MY THOUGHTS) {{URL}} via {@YouTube@} #PowerGhost #PowerBook2 #PowerNeverEnds #PowerStarz,0,0,1,0,0,0
8," you cannot simultaneously prepare and prevent for death- Einstein .... Sorry that was war . The great range of #LoganEcholls and {{USERNAME}} is always impressive,be it in the 1st season or the 4th. Love how the characters in this show are all multidimensional.",0,0,1,0,0,0
9,The time is now! The 1st edition of the  192  ezine is live on the Poets  Directory.  You can read all of the amazing poems here: {{URL}} Thanks to everyone who submitted - it s been a pleasure to read all of your amazing work. Big shout to {{USERNAME}} as well!,1,0,0,0,0,0
10,"Labor Day Weekend Raffle - Apple Watch, Fitbit Versa, and more! {{URL}} via {{USERNAME}} ",0,1,0,0,0,0
11,"the hype is crazy, act 1 is really going to be a turning point in taemin s whole career i dont think any of us are ready for it   #태민 #TAEMIN #샤이니 #SHINee #NeverGonnaDanceAgain #Act1 #Criminal {@SHINee@} {{URL}} ",0,0,1,0,0,0
12,#repost {@Shantel VanSanten@} ・・・ 107 degrees before noon?!?!?  Labor day weekend plans are to live in my pool this weekend!! #CanISleepFloatingInThePool #WrinklyFingers {{URL}},0,0,0,1,0,0
13,Full on entertainment. #JL50onSonyLIV on the {@SonyLIV@} just watched the 1st four episodes and it s just wow man,0,0,1,0,0,0
14,Happy Labor Day Weekend from the team {{USERNAME}} - Enjoy Your Day Off! {{URL}} #laborday #cincinnatimarketingsolutions #outsourcedmarketing,0,1,0,0,0,0
15,"Coming up this week on {{USERNAME}} (revised line up) {{USERNAME}} , a reissue of the 1st episode of SLB, {{USERNAME}} archive discussion, {{USERNAME}} & {{USERNAME}} brother talk & to end the week {{USERNAME}} #springsteen #indiepodcast #5yearsSLB Rate & review us please",0,0,1,0,0,0
16,#VwithSudheer {@Sudheer Babu@} don t know why lots of sites gave mixed reviews. Movie lived to the hype..I am especially happy that your role is not dummy as u balance nani s act very well,0,0,1,0,0,0
17,{@Miami HEAT@} Basketball vs {@Milwaukee Bucks@} Game 4  {@790 The Ticket@}  {{USERNAME}}  2:15p - Pregame Show from The Zaslow Mansion 3:30p - {{USERNAME}} & {@Ruth Riley Hunter@} w/the call Post - PostGame from The Zaslow Mansion  BAD NEWS for the Bucks!!  LIVE: {{URL}},0,0,0,0,1,0
18,I’m on {@975TheFanatic@} 12-4. Last Sunday without NFL. How many games do the Eagles win? How far can they go? What do the Flyers have to do to take the next step? Are you rooting for/against Jimmy Butler? Do you agree with me the Phillies will make noise in October?,0,0,0,0,1,0
