id,text,anger,joy,fear,sadness
0,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,1,0,0,0
1,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,1,0,0,0
2,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,1,0,0,0
3,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,1,0,0,0
4,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",1,0,0,0
5,My blood is boiling,1,0,0,0
6,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,1,0,0,0
7,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",1,0,0,0
8,"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",1,0,0,0
9,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,1,0,0,0
10,im so mad about power rangers. im incensed. im furious.,1,0,0,0
11,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,1,0,0,0
12,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,1,0,0,0
13,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",1,0,0,0
14,Fuking fuming 😤,1,0,0,0
15,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,1,0,0,0
16,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,1,0,0,0
17,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",1,0,0,0
18,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,1,0,0,0
19,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,1,0,0,0
20,Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,1,0,0,0
21,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,1,0,0,0
22,I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,1,0,0,0
23,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",1,0,0,0
24,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",1,0,0,0
25,Actually fuming I have nothing to wear Saturday,1,0,0,0
26,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,1,0,0,0
27,Bloody parking ticket 😒💸 #fuming,1,0,0,0
28,You ever just find that the people around you really irritate you sometimes? That's me right now 😒,1,0,0,0
29,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,1,0,0,0
30,"This fuck you is boiling up inside, its not gonna be good when I let it out.",1,0,0,0
31,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,1,0,0,0
32,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,1,0,0,0
33,Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,1,0,0,0
34,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,1,0,0,0
35,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,1,0,0,0
36,@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,1,0,0,0
37,@SunandBeachBum 'you people' infuriate me!,1,0,0,0
38,@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,1,0,0,0
39,So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,1,0,0,0
40,Still can't log into my fucking Snapchat#Snapchat #snap,1,0,0,0
41,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,1,0,0,0
42,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",1,0,0,0
43,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,1,0,0,0
44,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",1,0,0,0
45,i feel furious,1,0,0,0
46,Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,1,0,0,0
47,Still can't log into my fucking Snapchat #Snapchat ,1,0,0,0
