id,text,non_irony,irony
1,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,0,1
2,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",1,0
3,Now I remember why I buy books online @user #servicewithasmile,0,1
4,@user @user So is he banded from wearing the clothes?  #Karma,0,1
5,Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,0,1
6,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",0,1
7,@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,1,0
8,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,0,1
9,Halfway thorough my workday ... Woooo,0,1
10,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,0,1
11,I forked node!  Get ready for the future.  (Where's my interviews),1,0
12,"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",1,0
13,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",0,1
14,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,0,1
15,@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,1,0
16,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",1,0
17,.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,0,1
18,Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,1,0
19,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,0,1
20,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,1,0
21,Need to get back in to college..  #feeling #this,1,0
22,No. Its actually not Friday. Today we proudly present ☆ Sunday~!☆ So... GO ENJOY YOUR SUNDAY.,1,0
23,Thank god she doesn't get me to do this anymore!!! ellielippitt #barber  #hairdresser #blondie...,1,0
24,@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,0,1
25,I refuse to be weak... #workout #motivation #fitfam,1,0
26,Why YES! Of course I use  a lot in my day....because violence is illegal.,0,1
27,@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise  #GoodellMustGo,0,1
28,I hate plane rides but I wanna go to so many different countries,0,1
29,Stop being the fan. And be the person blowing minds.,0,1
30,Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is,0,1
31,I liked a @user video NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,1,0
32,"@user Advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity.",0,1
33,Love that I still have kids that still wake up early on Christmas  #justkiddingIlovethem,0,1
34,That moment when you have so much stuff to do but you open @user ... #productivity  #tumblr,0,1
35,Oh god I just so happens that i love really LOVE slow internet #slowinternet,0,1
36,Simply having a wonderful christmas time :D,1,0
37,isnt it the best when youre really tired then when you finally get in bed youre wide awake? I LOVE IT,0,1
38,Breaking up with your girl so you don't have to buy her any presents ||#lowbudget #smartmove  #a #good #idea #butscheming doe,1,0
39,Glad there's not a typhoon where we go on holiday in 4 weeks.  #fml,0,1
40,#LOL with all due #Respect to #KobeBryant .. he is  #MJ ^_^ but damn near #Close !! #Legends,1,0
41,"@user @user you don't know a damned thing about baseball, do you?",1,0
42,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!",0,1
43,All I can say is I'm lucky.,1,0
44,"#notcies #eu Liverpool workers ""miscarriage of justice"" victims",1,0
45,"@user yesss! What makes it worse is when they look gorgeous and say ""I just got my face beat!"" Wtf?  #Contradiction",0,1
46,Xmas on the blog feat @user and @user * Read our story and share the LOVE ❤️ Click the link...,1,0
47,"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.",0,1
48,This is not the moon. Pictures like the moon is made of light bulbs.  #the #moon :),1,0
49,I got ready and then got to school and parked in less than 12 minutes! #miracle,1,0
50,"@user yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!",0,1
51,I don't like clowns but I'm going to be one.,0,1
