醤	酱
憳	忐
遅	遲
𫟈	美
嘫	然
鍳	鉴
㧰	擽
鉄	鐵
𣪫	殿
呪	咒
𨍽	輥
𪥬	㛫
豼	貔
謕	啼
憇	憩
韀	鞯
甊	瓿
朶	朵
蟰	蠨
佉	祛
嬾	懒
衟	道
宼	寇
円	圆
𫎢	僦
箵	笭
猒	厌
𠫷	谻
峌	嵽
瘉	愈
絼	纼
挵	弄
虵	蛇
翶	翱
蔱	樧
糡	糨
惪	德
曅	晔
覧	览
𪾛	煝
𨨕	鏒
匩	匡
𩘥	颽
𤨏	瑣
𫗞	飦
闚	窥
愵	惄
阥	阴
賎	贱
牐	闸
厺	去
鐚	铔
顖	囟
覊	羈
丣	酉
辡	辩
魌	䫏
镟	旋
聟	婿
譈	憝
蕛	稊
𥐰	區
𩵋	魚
𡰣	尸
𣑯	桃
尀	叵
𤝕	猦
𥝢	利
憰	谲
侭	尽
𫟡	誴
蠇	蛎
糤	馓
尶	尴
挊	弄
徤	健
掶	捷
驩	欢
𪧭	親
櫺	棂
鑜	鋿
𤆕	忍
汬	阱
戝	贼
𫠒	鱆
謓	嗔
匂	匈
辬	斑
珎	珍
畣	答
𩯫	鬢
埊	地
繦	襁
𣴷	挱
婣	姻
㖞	喎
兓	駸
崋	華
鉨	玺
珟	玊
稲	稻
踡	蜷
薉	秽
𫊝	虐
鴋	鷝
賖	赊
嶚	嶛
靭	韧
羗	羌
枦	栌
鑤	刨
葢	蓋
苺	莓
遀	随
詋	咒
䮈	馳
䠂	楚
𪼄	瑑
漧	干
𪠑	搏
輽	軬
𪪕	阹
熦	爝
偘	侃
珁	瓷
峩	峨
鬡	鬇
礸	礤
鞀	鼗
迧	陈
嬺	昵
穨	颓
韯	韱
𫝦	㛝
𠥫	籩
瘖	喑
畞	亩
燨	爔
庺	松
炛	光
㪥	抯
𣴁	汐
雦	集
覻	觑
𡲆	屐
枠	桦
鱱	鳢
櫽	檃
䌇	索
鏛	鋿
𪥊	佅
𢟽	慕
𥲽	矬
尃	敷
伱	你
𫝚	囀
譲	让
鳿	鸀
𫌭	覹
蘴	葑
鍟	鉎
𫞰	盈
貋	豻
𪾘	缾
鸎	莺
尣	尪
丿	撇
莕	荇
旍	旌
𡛰	嬂
壷	壶
𢆍	臿
圀	国
収	收
逜	牾
鷟	鸑
闀	鬨
昰	是
戸	户
垻	坝
瓇	瑈
𫟌	苅
𪧒	客
𫍑	譍
猔	豵
衖	巷
蛕	蛔
𫒷	鐸
芀	苕
酖	耽
𣏥	楼
逩	奔
詧	察
粚	黐
刂	刀
潧	溱
簙	博
豿	狗
饝	馍
痺	痹
霴	靆
鍓	鏶
婯	丽
鼑	鼎
躳	躬
𣺌	渺
籨	奁
緕	纃
𫟤	䡐
毢	毰
簔	蓑
賌	赅
𡸅	弢
乹	乾
哣	咅
兘	始
𫟉	職
譌	讹
炿	烐
褎	袖
𫝱	寧
𡶾	旹
鶋	鶢
牕	窗
襍	杂
犾	㹜
渋	涩
𤼵	發
鄁	邶
劅	斀
篲	彗
櫘	槥
孯	掔
呅	吻
竼	篷
剼	刈
蟽	蝲
𥰫	筮
灐	瀅
蘷	夔
顇	悴
𩧀	驖
俌	辅
巿	韍
𫟿	鎈
猐	羌
綂	统
莾	莽
筂	篪
㠫	巭
斚	斝
䈇	罩
淸	清
𨒈	遟
忢	悟
歳	岁
賛	赞
䇲	筴
饇	饫
埓	埒
抅	拘
鵕	鵔
茰	萸
𧙟	袣
𪯌	搥
𧐢	蚵
昘	昉
蛧	魍
𡕄	壹
兾	冀
𩢲	駛
𫞱	鹽
㦲	哉
韤	袜
踁	胫
嵟	崔
灠	漤
𨱎	鍮
鞩	鞘
躈	噭
鼥	鼧
䶧	咬
劕	质
欔	欋
炏	炎
逈	迥
嬝	袅
訫	信
悳	德
躱	躲
凢	凡
燐	磷
吀	咩
筓	笄
裄	绗
勓	劾
𤴒	䴎
彚	彙
乛	乙
𫝼	撥
𢘥	恃
劮	逸
恵	惠
鱜	鱫
𫞚	澬
嘋	哮
辤	辞
鈓	銋
𪊨	麂
尟	鲜
蔶	箦
姧	奸
歀	款
鑎	鐀
婙	婧
煭	烈
垅	垄
涖	莅
箠	棰
𫎛	貾
㗋	喉
欝	郁
𫞥	珼
竵	歪
佱	法
屚	漏
𫝯	學
覩	睹
稬	糯
軰	辈
殦	鸱
𫞖	民
盇	盍
広	廣
蔒	荤
脗	吻
棥	樊
郷	乡
硷	碱
擝	掹
鴬	莺
簁	篩
𡻒	嵍
㧖	扼
𫍳	諥
嬭	奶
儍	傻
敶	陈
俢	修
衇	脉
窓	窗
饣	食
𥤡	䯂
諩	谱
剣	剑
槗	桥
欎	鬱
劤	劲
遉	侦
鮙	鳎
穤	糯
蓭	庵
孡	胎
嫷	媠
噟	譍
𧨢	詳
𠆣	寡
刢	伶
譡	谠
𫞿	簗
𫝲	尻
屛	屏
偼	倢
槀	槁
𢪑	摡
壥	廛
譱	善
諊	鞫
鶞	鳻
𡢎	嬎
堈	缸
𫁩	昱
𨻲	㙤
勹	包
㸔	看
変	变
卍	卐
蘐	萱
𡷫	峸
𣸸	添
齄	齇
𪤯	墩
穵	挖
纟	糸
壂	殿
𠛎	鉤
蛵	虰
餝	饰
𫟒	葉
緽	赬
呩	嗜
郉	邢
濶	阔
猟	猎
栢	柏
冫	冰
豀	谿
裠	裙
萲	萱
㝬	胡
栱	枓
尠	鲜
㝉	宁
銞	钧
烮	烈
𫠑	䱸
恡	吝
肐	胳
抴	曳
琾	玠
愯	悚
𣞤	無
獆	嗥
𠀍	世
醻	酬
縀	鞋
埜	野
靵	纽
鱓	鳝
隭	陑
毺	毹
祍	衽
嚺	嚃
薲	蘋
穂	穗
𫠂	閝
媍	妇
槞	櫳
鴧	鴥
鎺	鈨
㴞	滔
矙	瞰
襶	褦
攨	搲
麁	粗
坃	埙
鼌	晁
鞉	鼗
燄	焰
槈	耨
䕧	茭
瑇	玳
謌	歌
対	对
廘	鹿
匲	奁
拻	豗
𪧧	室
戞	戛
箒	帚
鐊	钖
𫝑	勢
甞	尝
墪	墩
褹	襼
㚷	嬭
蝑	蚣
𠻳	㘀
鑁	鍐
椾	笺
簮	簪
塁	垒
䖿	蜊
搘	支
嶉	崣
嫰	嫩
